ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,PrevCC,CC,PrevCCL,CCL,PrevCCO,CCO,PrevCI,CI,PrevCLC,CLC,PrevCLLC,CLLC,PrevLDC,LDC,PrevLLDC,LLDC,PrevLCOM5,LCOM5,PrevNL,NL,PrevNLE,NLE,PrevWMC,WMC,PrevCBO,CBO,PrevCBOI,CBOI,PrevNII,NII,PrevNOI,NOI,PrevRFC,RFC,PrevAD,AD,PrevCD,CD,PrevCLOC,CLOC,PrevDLOC,DLOC,PrevPDA,PDA,PrevPUA,PUA,PrevTCD,TCD,PrevTCLOC,TCLOC,PrevDIT,DIT,PrevNOA,NOA,PrevNOC,NOC,PrevNOD,NOD,PrevNOP,NOP,PrevLLOC,LLOC,PrevLOC,LOC,PrevNA,NA,PrevNG,NG,PrevNLA,NLA,PrevNLG,NLG,PrevNLM,NLM,PrevNLPA,NLPA,PrevNLPM,NLPM,PrevNLS,NLS,PrevNM,NM,PrevNOS,NOS,PrevNPA,NPA,PrevNPM,NPM,PrevNS,NS,PrevTLLOC,TLLOC,PrevTLOC,TLOC,PrevTNA,TNA,PrevTNG,TNG,PrevTNLA,TNLA,PrevTNLG,TNLG,PrevTNLM,TNLM,PrevTNLPA,TNLPA,PrevTNLPM,TNLPM,PrevTNLS,TNLS,PrevTNM,TNM,PrevTNOS,TNOS,PrevTNPA,TNPA,PrevTNPM,TNPM,PrevTNS,TNS,PrevWarningBlocker,WarningBlocker,PrevWarningCritical,WarningCritical,PrevWarningInfo,WarningInfo,PrevWarningMajor,WarningMajor,PrevWarningMinor,WarningMinor,PrevAndroid Rules,Android Rules,PrevBasic Rules,Basic Rules,PrevBrace Rules,Brace Rules,PrevClone Implementation Rules,Clone Implementation Rules,PrevClone Metric Rules,Clone Metric Rules,PrevCode Size Rules,Code Size Rules,PrevCohesion Metric Rules,Cohesion Metric Rules,PrevComment Rules,Comment Rules,PrevComplexity Metric Rules,Complexity Metric Rules,PrevControversial Rules,Controversial Rules,PrevCoupling Metric Rules,Coupling Metric Rules,PrevCoupling Rules,Coupling Rules,PrevDesign Rules,Design Rules,PrevDocumentation Metric Rules,Documentation Metric Rules,PrevEmpty Code Rules,Empty Code Rules,PrevFinalizer Rules,Finalizer Rules,PrevImport Statement Rules,Import Statement Rules,PrevInheritance Metric Rules,Inheritance Metric Rules,PrevJ2EE Rules,J2EE Rules,PrevJUnit Rules,JUnit Rules,PrevJakarta Commons Logging Rules,Jakarta Commons Logging Rules,PrevJava Logging Rules,Java Logging Rules,PrevJavaBean Rules,JavaBean Rules,PrevMigratingToJUnit4 Rules,MigratingToJUnit4 Rules,PrevMigration Rules,Migration Rules,PrevMigration13 Rules,Migration13 Rules,PrevMigration14 Rules,Migration14 Rules,PrevMigration15 Rules,Migration15 Rules,PrevNaming Rules,Naming Rules,PrevOptimization Rules,Optimization Rules,PrevSecurity Code Guideline Rules,Security Code Guideline Rules,PrevSize Metric Rules,Size Metric Rules,PrevStrict Exception Rules,Strict Exception Rules,PrevString and StringBuffer Rules,String and StringBuffer Rules,PrevType Resolution Rules,Type Resolution Rules,PrevUnnecessary and Unused Code Rules,Unnecessary and Unused Code Rules,PrevVulnerability Rules,Vulnerability Rules,REMOVE_PARAMETER,ADD_PARAMETER,REPLACE_MAGIC_NUMBER_WITH_CONSTANT,REMOVE_ASSIGNMENT_TO_PARAMETERS,INTRODUCE_EXPLAINING_VARIABLE,INLINE_TEMP,REMOVE_CONTROL_FLAG,CONSOLIDATE_COND_EXPRESSION,CONSOLIDATE_DUPLICATE_COND_FRAGMENTS,REPLACE_NESTED_COND_WITH_GUARD_CLAUSES,INLINE_METHOD,EXTRACT_METHOD,REPLACE_EXCEPTION_WITH_TEST,INTRODUCE_ASSERTION,RENAME_METHOD,REPLACE_METHOD_WITH_METHOD_OBJECT,MOVE_METHOD,HIDE_METHOD,INTRODUCE_NULL_OBJECT,INTRODUCE_LOCAL_EXTENSION,EXTRACT_SUPERCLASS,EXTRACT_INTERFACE,MOVE_FIELD,Refact_Sum,PrevRMI,RMI,RMIDiff
L9382,DefaultLexerSuperClass,org.antlr.v4.codegen.model.chunk.DefaultLexerSuperClass,L9330,L103,tool\src\org\antlr\v4\codegen\model\chunk\DefaultLexerSuperClass.java,33,1,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,0,0,0,0,1,1,3,3,3,3,3,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,5,5,1,1,3,3,5,5,0,0,3,3,3,3,3,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,5,5,1,1,3,3,5,5,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000925108521023","0,0009177",-7.41E+05
L9384,DefaultParserSuperClass,org.antlr.v4.codegen.model.chunk.DefaultParserSuperClass,L9330,L103,tool\src\org\antlr\v4\codegen\model\chunk\DefaultParserSuperClass.java,33,1,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,0,0,0,0,1,1,3,3,3,3,3,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,5,5,1,1,3,3,5,5,0,0,3,3,3,3,3,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,5,5,1,1,3,3,5,5,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000925108521023","0,0009177",-7.41E+05
L8576,LabelRef,org.antlr.v4.codegen.model.chunk.LabelRef,L9330,L103,tool\src\org\antlr\v4\codegen\model\chunk\LabelRef.java,35,1,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,1,1,1,1,1,1,7,7,8,8,4,4,0,0,1,1,0,0,1,1,1,1,1,1,0,0,5,5,2,2,4,4,5,5,0,0,7,7,8,8,4,4,0,0,1,1,0,0,1,1,1,1,1,1,0,0,5,5,2,2,4,4,5,5,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000875756093574","0,000869055",-6.70E+05
L8583,ListLabelRef,org.antlr.v4.codegen.model.chunk.ListLabelRef,L9330,L103,tool\src\org\antlr\v4\codegen\model\chunk\ListLabelRef.java,35,1,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,3,0,0,0,0,1,1,3,3,3,3,4,4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,6,6,1,1,4,4,6,6,0,0,3,3,3,3,4,4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,6,6,1,1,4,4,6,6,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000860900286746","0,000854481",-6.42E+05
L8554,LocalRef,org.antlr.v4.codegen.model.chunk.LocalRef,L9330,L103,tool\src\org\antlr\v4\codegen\model\chunk\LocalRef.java,35,1,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,1,1,1,1,1,1,7,7,8,8,4,4,0,0,1,1,0,0,1,1,1,1,1,1,0,0,5,5,2,2,4,4,5,5,0,0,7,7,8,8,4,4,0,0,1,1,0,0,1,1,1,1,1,1,0,0,5,5,2,2,4,4,5,5,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000875756093574","0,000869055",-6.70E+05
L8630,NonLocalAttrRef,org.antlr.v4.codegen.model.chunk.NonLocalAttrRef,L9330,L103,tool\src\org\antlr\v4\codegen\model\chunk\NonLocalAttrRef.java,35,1,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,0,0,0,0,1,1,11,11,13,13,6,6,0,0,3,3,0,0,1,1,3,3,1,1,0,0,5,5,4,4,6,6,5,5,0,0,11,11,13,13,6,6,0,0,3,3,0,0,1,1,3,3,1,1,0,0,5,5,4,4,6,6,5,5,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000838907713061","0,000832656",-6.25E+05
L8606,QRetValueRef,org.antlr.v4.codegen.model.chunk.QRetValueRef,L9330,L103,tool\src\org\antlr\v4\codegen\model\chunk\QRetValueRef.java,36,1,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,2,2,"0,5","0,5","0,125","0,125",1,1,1,1,1,1,1,1,"0,125","0,125",1,1,3,3,3,3,0,0,0,0,1,1,7,7,7,7,5,5,0,0,1,1,0,0,1,1,1,1,1,1,0,0,6,6,2,2,5,5,6,6,0,0,7,7,7,7,5,5,0,0,1,1,0,0,1,1,1,1,1,1,0,0,6,6,2,2,5,5,6,6,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000837144581899","0,000831014",-6.13E+04
L8547,RetValueRef,org.antlr.v4.codegen.model.chunk.RetValueRef,L9330,L103,tool\src\org\antlr\v4\codegen\model\chunk\RetValueRef.java,36,1,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,1,1,2,2,"0,5","0,5","0,125","0,125",1,1,1,1,1,1,1,1,"0,125","0,125",1,1,2,2,2,2,1,1,1,1,1,1,7,7,9,9,4,4,0,0,1,1,0,0,1,1,1,1,1,1,0,0,5,5,2,2,4,4,5,5,0,0,7,7,9,9,4,4,0,0,1,1,0,0,1,1,1,1,1,1,0,0,5,5,2,2,4,4,5,5,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000874753800099","0,000868081",-6.67E+05
L8398,RulePropertyRef,org.antlr.v4.codegen.model.chunk.RulePropertyRef,L9330,L103,tool\src\org\antlr\v4\codegen\model\chunk\RulePropertyRef.java,36,1,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,9,9,8,8,1,1,2,2,"0,5","0,5","0,125","0,125",1,1,1,1,1,1,1,1,"0,125","0,125",1,1,2,2,2,2,8,8,8,8,1,1,7,7,8,8,4,4,0,0,1,1,0,0,1,1,1,1,1,1,0,0,5,5,2,2,4,4,5,5,0,0,7,7,8,8,4,4,0,0,1,1,0,0,1,1,1,1,1,1,0,0,5,5,2,2,4,4,5,5,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000874753800099","0,000868081",-6.67E+05
L8433,RulePropertyRef_ctx,org.antlr.v4.codegen.model.chunk.RulePropertyRef_ctx,L9330,L103,tool\src\org\antlr\v4\codegen\model\chunk\RulePropertyRef_ctx.java,35,1,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,3,0,0,0,0,1,1,5,5,5,5,4,4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,6,6,1,1,4,4,6,6,0,0,5,5,5,5,4,4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,6,6,1,1,4,4,6,6,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000856571262664","0,000850189",-6.38E+05
